campaign_id,campaign_name,severity,pi,pacing_ratio,predicted_delivery_pct,root_cause
8081,2019891_KM_Monaco Tourism '26_Display_HD,CRITICAL,0.0,0.0,27.5,"Pacing at 0.00, zones at 0.55"
8167,2040947_KM_DMO_Costa Rica Air Service_Q2'2026_Display_HD,CRITICAL,0.0115,0.0211,26.8,"Pacing at 0.02, zones at 0.55"
8085,2109922_KM_Saily March - December 2026_Display_HD,CRITICAL,0.0036,0.0065,19.5,"Pacing at 0.01, zones at 0.55"
8094,2023966_KM_Atlassian FY26 TWC 2H_Display_HD,CRITICAL,0.0125,0.0229,59.5,"Pacing at 0.02, zones at 0.55"
8151,2081228_KM_Starlink Residential & Roam 2026_Display_HD,CRITICAL,0.012,0.022,119.9,"Pacing at 0.02, zones at 0.55"
8155,2086401_KM_Dyson 2Q26_Display_SD,CRITICAL,0.2061,0.4004,23.2,"Pacing at 0.40, zones at 0.51"
7949,2015665_KM_Zoho - IFE - 2025/2026_Display_HD,CRITICAL,0.0035,0.0062,42.2,"Pacing at 0.01, zones at 0.56"
8243,2036350_KM_Airwallex 2026_Display_SD,CRITICAL,0.0003,0.0005,235.9,"Pacing at 0.00, zones at 0.54"
8245,2144059_MP_Avis - Q2 Media - 2026_Display,CRITICAL,0.0001,0.0002,22.8,"Pacing at 0.00, zones at 0.55"
8246,2086401_KM_Dyson 2Q26_Display_HD,CRITICAL,0.0,0.0,17.2,"Pacing at 0.00, zones at 0.53"
8250,2117980_KM_DMO_Cayman Islands Summer 2026_GCM_Display_HD,CRITICAL,0.0,0.0,38.3,"Pacing at 0.00, zones at 0.55"
8173,2086691_KM_Canva B2B & Cannes 1H 2026_Display_HD,CRITICAL,0.0234,0.0446,26.8,"Pacing at 0.04, zones at 0.53"
8219,2028756_MP_Illy 2026 Partnership Campaign_Display,CRITICAL,0.173,0.336,30.0,"Pacing at 0.34, zones at 0.51"
