campaign_id,campaign_name,revenue_type,planned,delivered,delivery_pct,pacing_ratio,status,needed_daily,available_daily,feasibility,remaining_days,pi,predicted_final_delivery_pct,severity
8250,2117980_KM_DMO_Cayman Islands Summer 2026_GCM_Display_HD,paid,512821.0,0,0.0,0.0,Under-Pacing,13149,263899,OK,39,0.0,38.3,CRITICAL
8246,2086401_KM_Dyson 2Q26_Display_HD,paid,2051282.0,0,0.0,0.0,Under-Pacing,170940,297853,OK,12,0.0,17.2,CRITICAL
8081,2019891_KM_Monaco Tourism '26_Display_HD,paid,615385.0,1,0.0,0.0,Under-Pacing,7692,377529,OK,80,0.0,27.5,CRITICAL
8245,2144059_MP_Avis - Q2 Media - 2026_Display,paid,6500000.0,161,0.0,0.0002,Under-Pacing,132650,259912,OK,49,0.0001,22.8,CRITICAL
8243,2036350_KM_Airwallex 2026_Display_SD,paid,5750000.0,175,0.0,0.0005,Under-Pacing,24677,351280,OK,233,0.0003,235.9,CRITICAL
7949,2015665_KM_Zoho - IFE - 2025/2026_Display_HD,paid,5893333.0,21046,0.4,0.0062,Under-Pacing,37886,229453,OK,155,0.0035,42.2,CRITICAL
8085,2109922_KM_Saily March - December 2026_Display_HD,paid,11944008.0,18440,0.2,0.0065,Under-Pacing,51183,377529,OK,233,0.0036,19.5,CRITICAL
8167,2040947_KM_DMO_Costa Rica Air Service_Q2'2026_Display_HD,paid,535384.0,7724,1.4,0.0211,Under-Pacing,27772,263221,OK,19,0.0115,26.8,CRITICAL
8151,2081228_KM_Starlink Residential & Roam 2026_Display_HD,paid,5625000.0,24281,0.4,0.022,Under-Pacing,24037,263221,OK,233,0.012,119.9,CRITICAL
8094,2023966_KM_Atlassian FY26 TWC 2H_Display_HD,paid,1666667.0,24055,1.4,0.0229,Under-Pacing,52987,263221,OK,31,0.0125,59.5,CRITICAL
8173,2086691_KM_Canva B2B & Cannes 1H 2026_Display_HD,paid,888893.0,16972,1.9,0.0446,Under-Pacing,18165,297853,OK,48,0.0234,26.8,CRITICAL
8219,2028756_MP_Illy 2026 Partnership Campaign_Display,paid,2600654.0,320443,12.3,0.336,Under-Pacing,120011,289702,OK,19,0.173,30.0,CRITICAL
8155,2086401_KM_Dyson 2Q26_Display_SD,paid,2051282.0,456271,22.2,0.4004,Under-Pacing,132918,289702,OK,12,0.2061,23.2,CRITICAL
8217,2127469_KM_Navan 2026_Display,paid,693551.0,174275,25.1,1.7133,Over-Pacing,8114,350602,OK,64,0.922,130.3,WATCH
7762,1979913_KM_TN Dept Economic Dev FY26_Display,paid,1159286.0,1411800,121.8,1.7278,Over-Pacing,0,262382,OK,49,0.9231,172.9,WATCH
8098,2101892_MP_Instacart Loyalty April-Sept 2026_Display,paid,8348796.0,3227917,38.7,1.7163,Over-Pacing,36318,377529,OK,141,0.9397,128.1,WATCH
7955,2019891_KM_Monaco Tourism '26_Display_SD,paid,615385.0,777174,126.3,2.6661,Over-Pacing,0,353750,OK,80,1.4198,251.7,OK
7963,2109922_KM_Saily March - December 2026_Display_SD,paid,11944008.0,11934972,99.9,4.2329,Over-Pacing,39,365221,OK,233,2.3296,260.8,OK
7305,2015665_KM_Zoho - IFE - 2025/2026_Display_SD,paid,5893333.0,15045717,255.3,4.4464,Over-Pacing,0,222967,OK,155,2.5026,256.5,OK
8122,2122783_KM_The Mountain Collective_Display,paid,875000.0,2407067,275.1,4.6868,Over-Pacing,0,350195,OK,19,2.5355,278.6,OK
8092,2040947_KM_DMO_Costa Rica Air Service_Q2'2026_Display_SD,paid,535384.0,1742625,325.5,4.7633,Over-Pacing,0,227289,OK,19,2.6753,252.8,OK
8001,2023966_KM_Atlassian FY26 TWC 2H_Display_SD,paid,1666667.0,5029695,301.8,4.783,Over-Pacing,0,227289,OK,31,2.6864,261.0,OK
8185,2117980_KM_DMO_Cayman Islands Summer 2026_GCM_Display_SD,paid,512821.0,1011160,197.2,5.4672,Over-Pacing,0,259235,OK,39,2.951,271.1,OK
8091,2116508_CO_KEF Airport Coop_Q2'26_KEF_Display,paid,800000.0,2057139,257.1,5.7214,Over-Pacing,0,274690,OK,49,3.04,255.6,OK
8123,2086691_KM_Canva B2B & Cannes 1H 2026_Display_SD,paid,888893.0,2286031,257.2,6.0008,Over-Pacing,0,297336,OK,48,3.1688,264.2,OK
6616,1905804_Spotify_Project Lime Media_2025/26_Display,partner,9166667.0,42876214,467.7,4.938,Over-Pacing,0,333061,OK,19,3.29,283.7,OK
7910,2077450_CO_Co-Op Glasgow Airport_Display,paid,820513.0,9340577,1138.4,11.8648,Over-Pacing,0,262382,OK,3,6.3388,256.9,OK
8045,2081228_KM_Starlink Residential & Roam 2026_Display_SD,paid,5625000.0,23435510,416.6,21.197,Over-Pacing,0,254778,OK,233,11.8525,256.1,OK
